Region,Tweet,Sentiment
East,social distancing done right ,POSITIVE
East,deepaavali 2020 day 2 thaaimaman house family dinner #deepaavali #2020goals #love #celebration #festivaloflights #goodvibes #familytime #moment #gettogether #socialdistancing #day2 layang layang johor ,POSITIVE
East,kluster najib apa sik saman terus sidak semua sia sikda social distancing gk https ,NEGATIVE
East,ju yy that s the unique part of our compounding lab that fits #socialdistancing sop ,NEUTRAL
East,cherating #socialdistancing ,NEUTRAL
East,orang buat sidang media lepas keluar istana tak payah social distancing ke ah ,NEGATIVE
East,the surat in the al quran is not able to help and pacify the baby because of them who is still not aware of the subject and writing on the book of the al quran i hope we will be able provide thou with more support using social distancing ,POSITIVE
East,nasib dapat book hotel untuk minggu depan kalau x pishang langkawi next week mcm ramai org pergi je mask on plus social distancing kena jaga la jawabnya ,NEGATIVE
East,went on a foodtrip last night enjoying kl without fear char naka mask po ako and practiced social distancing #mitokover #wheninkl #petronastwintowers ,NEUTRAL
East,teruja depa kan lupa social distancing ,POSITIVE
East,sl ada tu hari di suria sudah bilang social distancing masih lagi mau dakat2 di belakang last last sia pura pura bersin mengadap pigi orang belakang undur juga tu orang dgn muka disgust sia bilang that s the best way to make you understand soc,NEGATIVE
East,korang duduk jarak laa social distancing kan,POSITIVE
East,1 dalgona coffee 2 among us 3 social distancing 4 tiktok challenge #celcombelanja #celcombelanja #celcombelanja ,NEUTRAL
East,new normal #covid 19 #covid19malaysia #handsanitizer #mask #socialdistancing #newnormal design by the new era of 2020 takecare amp stay safe,POSITIVE
East,wear mask social distancing #kitajagakita,NEUTRAL
East,it s that time when my stomach is craving for a lot of things that are unaccessible rn ugh y all better quarantine yourself and practice social distancing asap so we can kick covid s,POSITIVE
East,concert any concert of my fav concert without social distancing tak kisahlah local or oversea concert ,NEUTRAL
East,lots of local event that does not really implement social distancing,NEUTRAL
East,1 dalgona coffee 2 among us 3 social distancing 4 tiktok challenge #celcombelanja ,NEUTRAL
East,nothing like repellent to keep pests at bay #socialdistancing #onetake #notacting refreshing springs resort ,POSITIVE
East,lucu nya aku tengok berita ni di temu ramah bukan ikut sop juga dupang mask nda pakai bagus2 lepas tu tiada social distancing ,NEGATIVE
East,this person is another close aid of trump surely infected without the social distancing and mask wearing policy of trump admin ,POSITIVE
East,dari mulai physical distancing terus ke social distancing sampe sekarang kita jadi disconnecting dahlah ,POSITIVE
East,bila adik kazen nak jaga social distancing ,POSITIVE
East,mco 2 0 day 8 bebudak ni punya social distancing jalan datuk kumbar ,NEGATIVE
East,weekend activities social distancing from crowded area #kotatinggi #hiking #adventure #,NEGATIVE
East,dah lah warga emas mask tak pakai social distancing takde ni kalau ada pak and atok korang join korang pergi kutip sekarang dari dorang berhimpun mcmni ,NEGATIVE
East,#pharmacy students are finally back in full armour #mask to after many months to complete their #psychomotor assessment in #compounding #covid #socialdistancing #pharmaceutics ,NEUTRAL
East,bahhahaha social distancing dgn mirror ,NEUTRAL
East,we know that wearing mask and observe social distancing is the law only limited situations where these rules are exempted kan and certainly not in public and not whether u have the virus or not kan https ,NEGATIVE
East,1 mandatory mask wearing in public no exceptions fines and jail for non compliance 2 social distancing enforced everywhere thousands of folks who lost their jobs were hired as social distancing ambassadors and paid decently to fan out across all pub,NEGATIVE
East,fans mu dgn liverpool berkongsi satu gua habis la social distancing,NEGATIVE
East,1 dalgona coffee 2 among us 3 social distancing 4 tiktok challenge #celcombelanja ,NEUTRAL
East,setuju haritu lalu depan sekolah tgk budak2 balik sekolah tunggu parents amek takde social distancing punnn ,POSITIVE
East,tadi bos oyak ai dengan colleague kalau nak membawang nanti dah selamat la sebab depa dah letak kaca between my table and her table so kira ada social distancing la bila nak membawang tu ,NEUTRAL
East,went to my usual jogging track this morning and there s this 1 group of people running in a group of 20 close to each other side by side less than 2m i know they re all together cuz they re wearing the same tee like wtf man no social distancing u think covid is over ,POSITIVE
East,pishangnya kalau bukak u balik pastu naik lif dah la 4 org je pastu aku tak boleh bygkan surau nak social distancing kafenya lagi wait n see jelah pengumuman,NEGATIVE
East,dulukan tengok orang beratur ramai ramai macam fun je but now that s what i fear the most like i took order without looking to the front sebab the people won t social distancing and that really bother me please practice social distan,POSITIVE
East,banyaknya social distancing abah kau la kalau mcm ni,POSITIVE
East,is there something i should know thanks #beatgoneon #traxxfm #traxxfmtwittergang #stayathome #staysafe #besafeoutthere #wearamask #stayhome #washyourhands #socialdistancing ,NEUTRAL
East,semoga dlm lindungan rahmat kasih sayang dan redha allah swt semua walau dimana berada aamiin allahumma yaa rabbal alamin #staysafeeveryone #wearmask #jagajarak #socialdi,NEUTRAL
East,as much as i love the idea of staying at home i don t think i can do it again for another 3 months so for the love of all the good things in this world please wear a mask and practice social distancing the fight is not,POSITIVE
East,kemain penuh stage social distancing mana singkirkan dia sbb tak ikut sop ,NEGATIVE
East,the first group of muslims allowed in the mosque compound by appointment practice social distancing as they perform umrah in the grand mosque after saudi authorities ease coronavirus disease covid 19 restrictions in the holy city of mecca saudi arabia ,POSITIVE
East,#first #proper #selfie with #mom in the #yearoftherat2020 # # #socialdistancing #noselfiewithothers ,POSITIVE
East,stay safe i meter social distancing prolific yield sdn bhd ,POSITIVE
East,1 dalgona coffee 2 among us 3 social distancing 4 tiktok challenge #celcomebelanja ,NEUTRAL
East,tg arah pekerja sampai takda social distancing ke sue them lah,NEGATIVE
East,for real i ve been watching and wondering why aren t they practicing social distancing and wearing mask how if one of them is infected and then i realise owh it s shot before the pandemic ,NEGATIVE
East,reminder to practise social distancing ,NEUTRAL
East,masa solat raya ada social distancing habis khutbah raya semua berterabur bahu to bahu nak balik takut org2 pompuan kat rumah habiskan rendang raya ,NEGATIVE
East,social distancing i guess we should become a stranger again in our own space hasta m,NEGATIVE
East,gokulan obviously all must face the music but that the authorities don t look fair in enforcing the laws like sop why are the raayat immediately get jail or fined but for the vips different approach we have saw the speaker and vips having lunch without social distancing ,POSITIVE
East,yang pesen beratur kat cashier pastu nak dekat2 pastu gelabah2 nak letak barang kau yg sikit tu ape hal paham x social distancing tu ape nak sound lebih2 dah tua bangka tua2 pun bodoh pasal tu semua nak kena ajar ,NEGATIVE
East,racist trump remember it your fault for doing nothing in december last year when you were aduved of the virus you claimed it will disappear in 2 3 days you have also not helped with not leading example by not wear mask and social distancing in your rallies time to go ,NEUTRAL
East,bagi sesiapa yang terjejas akibat dibantai 7 2 malam ni aku ada nak sediakan gua bagi yang memerlukan jangan malu malu asalkan jaga social distancing ok ,NEGATIVE
East,kemudian yb dato seri sempat bersama warga felda dan warga pendidik di felda kahang timur penyampaian kit covid 19 kepada 39 buah sekolah turut diadakan keselamatan amp kesihatan guru amp anak2 kita menjadi keutamaan social distancing tidak dilupakan 2 3 ,POSITIVE
East,baguslah diorang dance pun ikut sop ada social distancing ,NEGATIVE
East,practice social distancing stay safe everyone cheers ,POSITIVE
East,start minggu ni mall akan buat sale yang tak masuk dek akal rakan rakan semua stay safe ya nampak buy 1 free 2 nanti jangan lupa pulak social distancing ,POSITIVE
East,good day and have a bless monday #staysafe #socialdistancing #msusciencelab lab ,POSITIVE
East,aku ingat social distancing rupanya memang dia sengaja menjauh ,NEGATIVE
East,bukan nak backup menteri tapi what if our people really jaga sesama kita by keeping social distancing and wearing face masks before the 4th wave haritu i went to many places ya masa the election and i have to agree that banyak pun yang tak ambik kisah pasal benda ni ,NEUTRAL
East,why you no social distancing ,NEUTRAL
East,met calon beaufort awhile in a restaurant dengan mask tidak pakai social distancing teda tunjuk muka bagi flyers tapi manifesto pun teda calon pkr kunun #sabah,NEGATIVE
East,habis tempoh pkp ni semua rumah ibadah akan di buka tapi still amalkan social distancing and imam be like jarakkan saf and not rapatkan ,NEGATIVE
East,tak pakai mask no social distancing solat kena social distancing bergambar tak perlu ke menteri tetap menteri ,NEGATIVE
East,no social distancing ,NEUTRAL
East,selamat hari raya aidilfitri maaf zahir dan batin raya yang berlainan terma untuk tahun ini alhamdulillah dapat juga beraya bersama2 keluarga di kampung #socialdistancing #kitajagakita #covid19 felda ulu jempol ,POSITIVE
East,kat tawau ni ada satu parti tu berkempen tepi jalan mmg mcm tak kenal erti social distancing tu,NEGATIVE
East,orang keluar sekarang pun takda social distancing seramnmmmm ,NEGATIVE
East,pkpb day 14 good morning alhamdulillah a good news was annouced last 2 days which was 4 state ended their pkpb due to low number of daily cases to others practise all the sops and keep social distancing to green zone we made it dont forget to follow sops also #stayhome,POSITIVE
West,hk spore taiwan vietnam amp nz handling of covid19 their improvements proves actions amp decisions here were all wrong no social distancing in public transports nonstop lockdowns doublestandards in enforcing laws prosecuting ordinary citizens but not bangsawan politicians in govt ,POSITIVE
West,haq social distancing ke bang ,NEUTRAL
West,social distancing ,NEUTRAL
West,harini pecah rekod yee aku tak gi toilet utk pipis dan membuang apa yg patut duduk pun tak sempat apa lagi mau berjalan ke toilet walaupun jaraknya seperti social distanc,NEGATIVE
West,keep working but make sure to social distancing always in mind ,NEUTRAL
West,klscm 2020 vr no races this year but the runs continue #running #marathon #sports #klscm #klscm2020vr #klmarathon #10km #virtualrun #run #socialdistancing #latergram #shotoniphone #reebok bukit mertaj,NEUTRAL
West,either wear a mask or do social distancing as covid 19 is a sneeze away but doing both is the best preventive measure this round of covid 19 is caused by the government s failure to forced quanrentine those returning home when we has successfully zero covid 19 case ,POSITIVE
West,kilang kilang ni kalau cakap ikut sop social distancing and etc ni sembang kosong belaka ya ,NEGATIVE
West,some people tak kisah apa benda tu pkpb still ada yg weekend jalan jalan shopping scan mysejahtera main main try baju tak faham2 apa social distancing ,NEUTRAL
West,i used to be able to previously unless it s some crazy new normal covid pandemic social distancing ruling i didn t know about ,NEGATIVE
West,social distancing ,NEUTRAL
West,pebenda la oi paksa budak2 umur bawah 5 thn duk dlm kotak camtu mana maunya diorg fikir nak main je sesama diorg yg penting dah sanitize masa dtg check suhu budak yg selsema demam x leh dtg taska yg lain ok dah social distancing dlm taska ni mengarut diorg budak la ,NEGATIVE
West,heyyyy mana social distancing hahaha,POSITIVE
West,hahaha stay safe amp alert social distancing dlm erti kata lain itu yg mak kau cuba sampaikan,NEGATIVE
West,terminal bas atas jalan raya dalam pasaraya2 di balai2 polis semua orang berkumpul social distancing never heard of it ,NEGATIVE
West,all the best lgbtq films to gay up your social distancing experience ,POSITIVE
West,thanks for the heads up the locals are still taking the whole social distancing very lightly unfortunately ,NEGATIVE
West,vibes tu high five social distancing ke ,NEUTRAL
West,diwali eve with bestie #diwali2020 #diwali #bestfriends #socialdistancing #kitajagakita #bff #simplecelebration #drinkingbuddies cat city bistro ,NEUTRAL
